timestamp,image_name,noise_score,resolution_score,blur_score,contrast_score,stroke_width_score,text_density_score,matra_continuity_score,zone_integrity_score,connected_component_stability_score,skew_penalty_score,ocr_readiness_score,ocr_confidence
2026-07-11 17:56:21,Screenshot 2026-06-08 114810.png,98.6,30.6,93.8,46.7,83.6,69.9,56.2,79.9,64.2,100.0,72.4,34.9
2026-07-11 18:41:24,good_quality.png,94.5,29.1,100.0,85.0,96.1,77.2,70.1,91.0,87.1,100.0,82.8,94.3
2026-07-12 11:31:49,good_contrast.png,100.0,3.7,77.9,25.5,83.6,79.8,53.7,87.5,64.5,100.0,65.4,59.0
2026-07-12 11:42:05,high_stroke.jpg,96.8,8.4,100.0,51.0,83.6,62.6,63.3,90.0,84.2,100.0,73.4,91.3
2026-07-12 11:52:39,Screenshot 2026-06-09 114305.png,95.9,11.0,69.0,37.7,83.6,37.2,51.3,71.0,0.0,100.0,55.0,57.3
2026-07-12 13:11:36,Screenshot 2026-06-09 113811.png,97.9,43.5,53.4,42.8,83.6,91.2,53.1,71.8,0.0,100.0,61.9,56.0
2026-07-12 14:02:28,Screenshot 2026-06-19 140821.png,100.0,45.1,100.0,95.0,83.6,89.3,60.4,89.0,59.0,100.0,82.8,43.5
2026-07-12 14:19:07,योग दर्शनं_0000.jpg,98.0,100.0,96.7,80.6,96.1,63.6,66.4,76.8,48.5,98.7,84.6,39.0
2026-07-12 14:31:38,Screenshot 2026-06-09 120634.png,94.5,29.1,100.0,85.0,96.1,77.2,70.1,91.0,87.1,100.0,82.8,94.3
2026-07-12 14:37:21,Screenshot 2026-06-30 111904.png,100.0,44.9,100.0,90.0,83.6,88.1,67.0,89.5,73.1,98.4,83.9,34.9
2026-07-12 15:59:48,योग दर्शनं_0000.jpg,98.0,100.0,96.7,80.6,96.1,63.6,66.4,76.8,48.5,98.7,84.6,39.0
